,baseline_p,baseline_a,evoked_p,evoked_a,cc_pup_beh
bbl102d,0.5642621957998142,0.5708960220487288,0.0018468241543080444,0.0012415119751336755,0.07811909166320076
BRT026c,0.4297625461439392,0.49746078444305425,-0.00024506239765787944,0.022240541457347225,0.28265895678935504
BRT033b,0.5839306255410739,0.5741818621407344,0.002204807872771148,0.025621075274166974,-0.08864112931931198
BRT034f,0.3915400453285679,0.4685970526295024,0.00020227923582225027,0.0350010680596012,0.3076857316611732
BRT036b,0.4835429687090763,0.4847198606295834,-0.007515648266337073,0.018320331897443684,0.06586817514503503
BRT037b,0.6048848029879647,0.631689242915689,-0.001630115825324864,0.016909714741243732,0.22698019936602432
BRT039c,0.6513227998885048,0.6242769214248712,-0.00257560512077597,0.021776000785723358,-0.13705046924381897
TAR010c,0.4277391263112424,0.5321280652884858,-0.006353053675181444,0.004464971520258089,0.33914676167709573
bbl071d,0.3507936355617502,0.4700936369991316,0.00351566614384166,0.028747470208375054,0.44689485217447333
bbl074g,0.41549705318905467,0.48246386599892255,0.0005541379193263247,0.008448903245544684,0.36222578726447646
bbl078k,0.594327810607771,0.6040882941912376,-0.0025722746000369375,0.0013807244112936299,0.03731805125184374
bbl081d,0.3885568144951631,0.46040302011126116,0.002112865546835154,0.021243651477318496,0.35680350104294806
BRT005c,0.5650232619612702,0.5708433415359704,0.0054420578526214155,0.023824939592131385,0.015344759330760035
BRT006d,0.47457792895809436,0.41665112493725254,-0.0005550560810991891,0.005847574053913995,-0.1648386496318397
BRT007c,0.33459484308336707,0.4405695179475496,0.0013748469004249545,0.028673862579667468,0.46689037822227236
BRT009a,0.655527821700937,0.6399563821694247,0.0064022685813079645,0.013938509171400154,-0.08539365127762824
BRT009c,0.4976947493005894,0.6002616395038917,0.0011316420964416073,0.012347492799906693,0.30916051219789353
BRT009d,0.5592971019864825,0.6307220698254602,0.02347004647452899,0.042923946628958674,0.2473511907909848
BRT015b,0.3960454931274796,0.574306066099474,0.00023484434943924428,0.028486460511659553,0.5965844735554586
BRT015c,0.49497203424770236,0.5207760467593313,-0.005915043051727448,0.00766400621708167,0.10308986489032534
BRT016f,0.43522431070893514,0.4665681801527774,0.0045828513619257626,0.009661093854276331,0.1247665857738341
BRT017g,0.36428536062727906,0.5011190271118205,0.0019501026919743778,0.013437623008055533,0.5285586987881757
ley011c,0.46598906004900753,0.6361704392090416,-0.01032592768834236,0.027105755482402325,0.5243057685780311
ley026g,0.5718529827920797,0.7250739963956188,0.0021005822702110915,0.015544998294744898,0.3460474782265038
ley027f,0.5517604149933916,0.6850613541112135,-0.001514834957192968,0.03300700969607277,0.41811600669316357
ley027g,0.23639064529665474,0.4516834090177137,0.005441412962718578,0.022878234285487152,0.7091941867931848
ley034g,0.6815600354674245,0.7517379426093819,0.012888503078534662,0.01741261619852633,0.17066965602808984
ley035c,0.4937063107506253,0.68867998265046,-0.005449208360392201,0.02727366246063071,0.7062975966251003
ley040j,0.8028755078027434,0.8290343712605296,-0.00726197351210326,0.026244764222003728,0.18536220426318445
ley040k,0.5232477696263996,0.7642134819726782,0.000671426405099894,0.03556930801904047,0.5633308922856888
ley041l,0.23947616946299502,0.5906836722200292,-0.004679804744878445,0.03366642375725664,0.7258977621938739
ley042i,0.5888941928150692,0.6527527156223453,-0.004002741179653522,0.026077544078128657,0.18091748618043862
ley046f,0.4772478735644138,0.7497833021604948,-0.01372553164539972,0.043437504461062364,0.584906165559393
ley046g,0.4837194549926413,0.6953638953593761,-0.00555969208546052,0.052053414739066016,0.5294272024540598
ley049h,0.7177277395948701,0.6776365917445472,0.017300519019162842,0.03516802311084131,-0.28434682153693774
