,cellid,tar_freq,state_chan_alt
0,btn003b-b1,1000.0,ACTIVE_1
0,btn003c-b1,700.0,ACTIVE_1
0,btn003c-b1,4000.0,ACTIVE_2
0,btn006a-b1,10000.0,ACTIVE_1
0,btn008b-a1,1200.0,ACTIVE_1
0,btn008b-a1,9600.0,ACTIVE_2
0,btn009a-b1,3500.0,ACTIVE_1
0,btn009b-b1,14000.0,ACTIVE_1
0,btn011a-b1,650.0,ACTIVE_1
0,btn011c-b1,500.0,ACTIVE_1
0,btn012c-a1,8000.0,ACTIVE_1
0,btn012c-a1,10500.0,ACTIVE_2
0,btn012c-a1,2000.0,ACTIVE_3
0,btn012c-b1,8000.0,ACTIVE_1
0,btn012c-b1,10500.0,ACTIVE_2
0,btn012c-b1,2000.0,ACTIVE_3
0,btn013c-b1,1300.0,ACTIVE_1
0,btn013c-b1,3600.0,ACTIVE_2
0,btn014b-a1,7000.0,ACTIVE_1
0,btn015b-b1,700.0,ACTIVE_1
0,btn015d-b1,12000.0,ACTIVE_1
0,btn015g-a1,16000.0,ACTIVE_1
0,btn016b-b1,5200.0,ACTIVE_1
0,btn016b-b1,13500.0,ACTIVE_2
0,btn016e-b1,12000.0,ACTIVE_1
0,btn018c-a1,24000.0,ACTIVE_1
0,btn018d-a1,8000.0,ACTIVE_1
0,btn019a-a1,20000.0,ACTIVE_1
0,btn019c-a1,18000.0,ACTIVE_1
0,btn019c-a1,4500.0,ACTIVE_2
0,btn029a-b1,2300.0,ACTIVE_1
0,btn030a-b1,560.0,ACTIVE_1
0,btn037a-b1,500.0,ACTIVE_1
0,btn040c-b1,5500.0,ACTIVE_1
0,btn040c-b1,22000.0,ACTIVE_2
0,btn044d-b1,7000.0,ACTIVE_1
0,btn054b-a1,500.0,ACTIVE_1
0,btn059b-a1,3700.0,ACTIVE_1
0,btn060a-a1,14000.0,ACTIVE_0
0,btn062a-a1,7600.0,ACTIVE_0
0,btn062c-a1,24000.0,ACTIVE_1
0,btn069b-a1,16500.0,ACTIVE_1
0,btn070a-b1,7000.0,ACTIVE_1
0,btn071c-a1,7000.0,ACTIVE_0
0,btn072d-a1,1200.0,ACTIVE_1
0,btn073a-a1,450.0,ACTIVE_1
0,btn073b-b1,5500.0,ACTIVE_1
0,btn073c-a1,5000.0,ACTIVE_1
0,btn073c-a1,1250.0,ACTIVE_2
0,btn074e-b1,8000.0,ACTIVE_-1
0,btn074e-b1,2000.0,ACTIVE_0
0,btn075a-b1,450.0,ACTIVE_1
0,btn075a-b1,3600.0,ACTIVE_2
0,btn075c-b1,9000.0,ACTIVE_1
0,btn075c-b1,1000.0,ACTIVE_2
0,btn077a-a1,7500.0,ACTIVE_1
0,btn079d-b1,8000.0,ACTIVE_1
0,btn079d-b1,8000.0,ACTIVE_2
0,btn079e-b1,16000.0,ACTIVE_1
0,btn086c-a1,7000.0,ACTIVE_1
0,btn088b-a1,8000.0,ACTIVE_1
0,btn095b-b1,7000.0,ACTIVE_1
0,btn097a-a1,7000.0,ACTIVE_1
0,btn104e-a1,20000.0,ACTIVE_1
0,btn104e-a1,5000.0,ACTIVE_2
0,btn105a-a1,1200.0,ACTIVE_1
0,btn105a-a1,4800.0,ACTIVE_2
0,btn105c-a1,17000.0,ACTIVE_1
0,btn109b-b1,5000.0,ACTIVE_1
0,btn109c-a1,17000.0,ACTIVE_1
0,btn109c-a1,4250.0,ACTIVE_2
0,btn111b-b1,10000.0,ACTIVE_1
0,btn111b-b1,1250.0,ACTIVE_2
0,btn112d-b1,17000.0,ACTIVE_1
0,btn112e-b1,1625.0,ACTIVE_0
0,btn112e-b1,13000.0,ACTIVE_1
0,btn114b-b1,450.0,ACTIVE_1
0,btn114d-b1,20000.0,ACTIVE_1
0,btn114d-b1,2500.0,ACTIVE_2
0,btn116a-b1,500.0,ACTIVE_0
0,btn117f-a1,8000.0,ACTIVE_0
0,btn118a-b1,600.0,ACTIVE_1
0,btn118a-b1,4800.0,ACTIVE_2
0,btn119a-b1,500.0,ACTIVE_1
0,btn119b-b1,17000.0,ACTIVE_1
0,btn119b-b1,2125.0,ACTIVE_2
0,btn120a-b1,1100.0,ACTIVE_1
0,btn120a-b1,8800.0,ACTIVE_2
0,btn120b-b1,5000.0,ACTIVE_1
0,btn123a-a1,8000.0,ACTIVE_-1
0,btn123a-a1,1000.0,ACTIVE_0
0,btn123b-a1,500.0,ACTIVE_1
0,btn131a-a1,10500.0,ACTIVE_1
0,btn134a-a1,12000.0,ACTIVE_1
0,btn139c-a1,13000.0,ACTIVE_1
0,btn142b-a1,16000.0,ACTIVE_1
0,btn143b-a1,17000.0,ACTIVE_1
0,mgc001c-a1,2000.0,ACTIVE_1
0,mgc001c-a1,1000.0,ACTIVE_2
0,mgc008b-b1,650.0,ACTIVE_1
0,mgc013a-a1,1100.0,ACTIVE_1
0,mgc013a-a1,600.0,ACTIVE_2
0,mgc015a-a1,600.0,ACTIVE_1
0,mgc015b-a1,600.0,ACTIVE_1
0,mgc016d-b1,8000.0,ACTIVE_1
0,mgc016e-b1,750.0,ACTIVE_1
0,mgc028b-b1,13000.0,ACTIVE_0
0,mgc031d-b1,24000.0,ACTIVE_1
0,mgc037b-a1,600.0,ACTIVE_1
0,mgc038a-b1,12000.0,ACTIVE_0
0,mgc049e-b1,23000.0,ACTIVE_1
0,mgc050b-b1,23000.0,ACTIVE_1
0,mgc052e-b1,450.0,ACTIVE_1
0,mgc055a-a1,333.0,ACTIVE_1
