cellid,BF,SNR
bbl071d-a1,457.0,58.19642809589611
bbl071d-a2,604.0,91.60487409360375
bbl071d-a3,1095.0,44.2383155828952
bbl074g-a1,6906.0,96.47271812456214
bbl078k-a1,2779.0,50.677673184262346
bbl081d-a1,2703.0,11.6837765941225
bbl081d-a2,2042.0,6.311549238426949
BRT005c-a1,2703.0,5.492757141232665
BRT006d-a1,1439.0,4.963518178856902
BRT006d-a2,3220.0,5.479147335964582
BRT007c-a1,457.0,40.17159810525936
BRT007c-a3,473.0,6.834480426662559
BRT009a-a1,1544.0,7.9534352063849365
BRT009c-a1,4000.0,11.455840301024676
BRT009d-a1,1088.0,8.423734066434369
BRT015b-a1,15888.0,661.6267398079804
BRT015c-a1,10810.0,247.35902428509334
BRT016f-a1,1167.0,301.3759740492896
BRT017g-a1,1167.0,246.17598475273667
BRT017g-a3,1167.0,63.21755990409763
ley011c-a1,5183.0,10.861340349231439
ley026g-a1,5367.0,31.338547719748014
ley027f-a1,5367.0,41.69580524250605
ley027g-a1,7617.0,4.335848501283762
ley027g-a2,6622.0,9.95819007588495
ley034g-a1,4832.0,98.88626566868214
ley035c-a1,12878.0,3.4980374154108977
ley040j-a1,9398.0,1.9882053056197702
ley040k-a1,13812.0,21.88774348968098
ley041l-a1,32000.0,44.4636037581736
ley042i-a1,29836.0,59.55129882605717
ley046f-01-1,9138.0,1.6729374297859727
ley046f-03-1,5040.0,6.05602316511415
ley046f-06-1,10512.0,6.029275512815622
ley046f-08-1,6439.0,6.471747935400175
ley046f-12-1,5797.0,9.391223245350622
ley046f-13-1,6218.0,1.0614232313576486
ley046f-21-1,14918.0,1.0028102494191016
ley046f-22-1,12969.0,1.9774959636250293
ley046f-27-1,5598.0,1.6848609037405184
ley046f-28-1,6439.0,0.9656075475248722
ley046f-30-1,4699.0,1.2013865687063445
ley046f-32-1,4381.0,0.9316064624685487
ley046f-38-1,8520.0,0.9579163972919758
ley046f-41-1,3311.0,0.8052491781946796
ley046f-44-1,3944.0,1.0994219997790133
ley046f-55-1,555.0,1.029044762615675
ley046f-60-1,4230.0,1.0047699526215075
ley046f-62-1,5405.0,1.1316341414516309
ley046g-04-1,9464.0,16.948716130122857
ley046g-11-1,8824.0,1.351712279106219
ley046g-12-1,5040.0,3.8998330772818823
ley046g-23-1,5797.0,8.259859055679284
ley046g-30-1,12969.0,0.7300304863471558
ley046g-31-1,14405.0,1.37297287260682
ley046g-31-2,5219.0,1.2462107415131554
ley046g-36-1,14405.0,0.965287176939196
ley046g-37-1,1158.0,0.8021532695600697
ley046g-39-1,5797.0,0.6328634090622187
ley046g-39-2,7407.0,0.7558041291377129
ley046g-47-1,1587.0,0.8235446900223407
ley046g-53-1,7407.0,0.9835767202484833
ley046g-57-1,14405.0,0.8949766421108725
ley046g-59-1,1480.0,0.7179901665843118
ley049h-a1,26862.0,27.7832019112503
ley049h-a2,27819.0,6.990447676053691
